date,close
2023-09-15,2568.0
2023-09-18,2518.0
2023-09-19,2442.2
2023-09-20,2418.0
2023-09-21,2355.4
2023-09-22,2410.2
2023-09-25,2391.0
2023-09-26,2391.0
2023-09-27,2453.8
2023-09-28,2439.4
2023-09-29,2402.2
2023-10-02,2395.8
2023-10-03,2386.8
2023-10-04,2379.6
2023-10-05,2480.0
2023-10-06,2482.2
2023-10-09,2477.4
2023-10-10,2485.2
2023-10-11,2444.0
2023-10-12,2465.0
2023-10-13,2512.6
2023-10-16,2530.0
2023-10-17,2527.4
2023-10-18,2527.2
2023-10-19,2660.6
2023-10-20,2679.4
2023-10-23,2677.2
2023-10-24,2725.2
2023-10-25,2737.0
2023-10-26,2682.4
2023-10-27,2666.6
2023-10-30,2603.6
2023-10-31,2612.0
2023-11-01,2639.8
2023-11-02,2625.6
2023-11-03,2613.0
2023-11-06,2638.0
2023-11-07,2633.2
2023-11-08,2614.8
2023-11-09,2611.6
2023-11-10,2598.8
2023-11-13,2577.2
2023-11-14,2600.0
2023-11-15,2620.0
2023-11-16,2569.0
2023-11-17,2572.0
2023-11-20,2573.4
2023-11-21,2572.6
2023-11-22,2573.4
2023-11-23,2559.2
2023-11-24,2594.6
2023-11-27,2593.2
2023-11-28,2602.6
2023-11-29,2574.0
2023-11-30,2523.4
2023-12-01,2420.6
2023-12-04,2397.8
2023-12-05,2418.6
2023-12-06,2320.6
2023-12-07,2349.8
2023-12-08,2337.6
2023-12-11,2207.6
2023-12-12,2257.0
2023-12-13,2266.8
2023-12-14,2157.6
2023-12-15,2224.4
2023-12-18,2250.4
2023-12-19,2242.2
2023-12-20,2288.8
2023-12-21,2267.2
2023-12-22,2295.8
2023-12-25,2396.6
2023-12-26,2427.6
2023-12-27,2550.0
2023-12-28,2531.2
2023-12-29,2540.0
2024-01-03,2581.0
2024-01-04,2568.0
2024-01-05,2576.8
2024-01-08,2611.0
2024-01-09,2607.0
2024-01-10,2586.4
2024-01-11,2605.0
2024-01-12,2631.0
2024-01-15,2690.2
2024-01-16,2647.2
2024-01-17,2652.4
2024-01-18,2595.8
2024-01-19,2569.8
2024-01-22,2601.0
2024-01-23,2635.4
2024-01-24,2645.8
2024-01-25,2779.0
2024-01-26,2873.0
2024-01-29,2995.0
2024-01-30,3078.0
2024-01-31,3026.0
2024-02-01,3108.0
2024-02-02,3163.0
2024-02-05,3047.0
2024-02-06,3108.6
2024-02-07,3325.0
2024-02-08,3306.2
2024-02-09,3290.4
2024-02-12,3304.6
2024-02-13,3477.0
2024-02-14,3439.4
2024-02-15,3444.2
2024-02-16,3417.0
2024-02-19,3310.4
2024-02-20,3314.6
2024-02-21,3246.2
2024-02-22,3241.8
2024-02-26,3404.8
2024-02-27,3365.8
2024-02-28,3375.8
2024-02-29,3383.0
2024-03-01,3539.4
2024-03-04,3700.6
2024-03-05,3627.0
2024-03-06,3577.8
2024-03-07,3623.8
2024-03-11,3544.4
2024-03-12,3499.6
2024-03-13,3588.6
2024-03-14,3598.8
2024-03-15,3635.6
2024-03-18,3686.2
2024-03-19,3797.0
2024-03-20,3948.0
2024-03-21,3882.0
2024-03-22,3834.0
2024-03-25,4024.6
2024-03-26,4018.8
2024-03-27,4007.2
2024-03-28,4003.8
2024-03-29,3994.0
2024-04-01,3975.0
2024-04-02,3868.0
2024-04-03,3920.2
2024-04-04,3960.0
2024-04-05,3995.0
2024-04-08,3959.0
2024-04-09,3954.6
2024-04-10,3980.0
2024-04-11,3946.0
2024-04-12,3990.0
2024-04-15,4046.0
2024-04-16,4049.6
2024-04-17,4199.8
2024-04-18,4193.0
2024-04-19,4257.2
2024-04-22,4290.2
2024-04-23,4172.2
2024-04-24,4111.8
2024-04-25,4164.6
2024-04-26,4231.6
2024-04-27,4160.2
2024-04-29,4173.4
2024-04-30,4149.6
2024-05-02,4177.0
2024-05-03,4236.4
2024-05-06,4274.0
2024-05-07,4356.0
2024-05-08,4310.0
2024-05-10,4356.2
2024-05-13,4407.0
2024-05-14,4489.8
2024-05-15,4355.2
2024-05-16,4361.2
2024-05-17,4271.0
2024-05-20,4196.0
2024-05-21,4106.4
2024-05-22,4234.0
2024-05-23,4206.4
2024-05-24,4189.2
2024-05-27,4084.0
2024-05-28,4038.4
2024-05-29,4051.0
2024-05-30,4032.8
2024-05-31,3996.8
2024-06-03,4044.4
2024-06-04,4177.8
2024-06-05,4159.2
2024-06-06,4204.2
2024-06-07,4222.0
2024-06-10,4125.6
2024-06-11,4102.0
2024-06-13,4048.0
2024-06-14,4071.2
